image_name,persons
frame_00000.jpg,endou
frame_00001.jpg,endou
frame_00002.jpg,endou
frame_00003.jpg,kaki
frame_00004.jpg,kaki
frame_00005.jpg,kaki
frame_00006.jpg,endou
frame_00007.jpg,endou
frame_00008.jpg,endou
frame_00009.jpg,endou
frame_00010.jpg,endou
frame_00011.jpg,endou
frame_00012.jpg,endou
frame_00013.jpg,yumiki|kaki
frame_00014.jpg,yumiki|kaki
frame_00015.jpg,yumiki|kaki
frame_00016.jpg,kaki
frame_00017.jpg,kaki
frame_00018.jpg,kaki
frame_00019.jpg,endou
frame_00020.jpg,endou
frame_00021.jpg,kaki
frame_00022.jpg,kaki
frame_00023.jpg,kaki
frame_00024.jpg,kaki
frame_00025.jpg,kaki
frame_00026.jpg,yumiki|kaki
frame_00027.jpg,yumiki|kaki
frame_00028.jpg,kaki
frame_00029.jpg,kaki
frame_00030.jpg,kaki
frame_00031.jpg,kaki
frame_00032.jpg,kaki
frame_00033.jpg,endou
frame_00034.jpg,kaki
frame_00035.jpg,kaki
frame_00036.jpg,kaki
frame_00037.jpg,kaki
frame_00038.jpg,kaki
frame_00039.jpg,kaki|endou
frame_00040.jpg,kaki|endou
frame_00041.jpg,kaki|endou
frame_00042.jpg,kaki|endou
frame_00043.jpg,kaki|endou
frame_00044.jpg,kaki|endou
frame_00045.jpg,yumiki|kaki
frame_00046.jpg,endou
frame_00047.jpg,endou
frame_00048.jpg,endou
