image_name,persons
frame_00000.jpg,hayashi|endou
frame_00001.jpg,hayashi|endou
frame_00002.jpg,hayashi|endou
frame_00003.jpg,hayashi|endou
frame_00004.jpg,hayashi|endou
frame_00005.jpg,hayashi|endou
frame_00006.jpg,hayashi|endou
frame_00007.jpg,hayashi|endou
frame_00008.jpg,hayashi|endou
frame_00009.jpg,hayashi|endou
frame_00010.jpg,hayashi|endou
frame_00011.jpg,hayashi|endou
frame_00012.jpg,hayashi|endou
frame_00013.jpg,hayashi|endou
frame_00014.jpg,hayashi|endou
frame_00015.jpg,hayashi|endou
frame_00016.jpg,hayashi|endou
frame_00017.jpg,hayashi|endou
frame_00018.jpg,hayashi|endou
frame_00019.jpg,hayashi|endou
frame_00020.jpg,hayashi|endou
frame_00021.jpg,hayashi|endou
frame_00022.jpg,hayashi|endou
frame_00023.jpg,hayashi|endou
frame_00024.jpg,hayashi|endou
