image_name,persons
frame_00000.jpg,yumiki|kaki
frame_00001.jpg,yumiki|kaki
frame_00002.jpg,yumiki|kaki
frame_00003.jpg,yumiki|kaki
frame_00004.jpg,yumiki|kaki
frame_00005.jpg,yumiki|kaki
frame_00006.jpg,yumiki|kaki
frame_00007.jpg,yumiki|kaki
frame_00008.jpg,yumiki|kaki
frame_00009.jpg,yumiki|kaki
frame_00010.jpg,yumiki|kaki
frame_00011.jpg,yumiki|kaki
frame_00012.jpg,yumiki|kaki
frame_00013.jpg,yumiki|kaki
frame_00014.jpg,yumiki|kaki
frame_00015.jpg,yumiki|kaki
frame_00016.jpg,yumiki|kaki
frame_00017.jpg,yumiki|kaki
frame_00018.jpg,yumiki|kaki
frame_00019.jpg,yumiki|kaki
frame_00020.jpg,yumiki|kaki
frame_00021.jpg,yumiki|kaki
frame_00022.jpg,yumiki|kaki
frame_00023.jpg,yumiki|kaki
frame_00024.jpg,yumiki|kaki
frame_00025.jpg,yumiki|kaki
frame_00026.jpg,yumiki|kaki
frame_00027.jpg,yumiki|kaki
frame_00028.jpg,yumiki|kaki
frame_00029.jpg,yumiki|kaki
frame_00030.jpg,yumiki|kaki
frame_00031.jpg,yumiki|kaki
frame_00032.jpg,yumiki|kaki
frame_00033.jpg,yumiki|kaki
frame_00034.jpg,yumiki|kaki
frame_00035.jpg,yumiki|kaki
frame_00036.jpg,yumiki|kaki
frame_00037.jpg,yumiki|kaki
frame_00038.jpg,yumiki|kaki
frame_00039.jpg,yumiki|kaki
frame_00040.jpg,yumiki|kaki
frame_00041.jpg,yumiki|kaki
