image_name,persons,,
frame_00000.jpg,umezawa,,
frame_00001.jpg,umezawa,,endou
frame_00002.jpg,endou,,
frame_00003.jpg,endou,,
frame_00004.jpg,umezawa,,
frame_00005.jpg,umezawa,,
frame_00006.jpg,endou,,
frame_00007.jpg,endou,,
frame_00008.jpg,endou,,
frame_00009.jpg,endou,,
frame_00010.jpg,endou,,
frame_00011.jpg,endou,,
frame_00012.jpg,endou,,
frame_00013.jpg,endou,,
frame_00014.jpg,endou,,
frame_00015.jpg,endou,,
frame_00016.jpg,endou,,
frame_00017.jpg,endou,,
frame_00018.jpg,endou,,
frame_00019.jpg,umezawa,,
frame_00020.jpg,umezawa,,
frame_00021.jpg,umezawa,,
frame_00022.jpg,umezawa,,
frame_00023.jpg,endou,,
frame_00024.jpg,endou,,
frame_00025.jpg,endou,,
frame_00026.jpg,endou,,
frame_00027.jpg,endou,,
frame_00028.jpg,endou,,
frame_00029.jpg,umezawa,,
frame_00030.jpg,umezawa,,
frame_00031.jpg,umezawa,,
frame_00032.jpg,umezawa,,
frame_00033.jpg,umezawa,,
frame_00034.jpg,endou,,
frame_00035.jpg,umezawa,,
frame_00036.jpg,umezawa,,
frame_00037.jpg,endou,,
frame_00038.jpg,endou,,
frame_00039.jpg,umezawa,,
frame_00040.jpg,umezawa,,
frame_00041.jpg,endou,,
frame_00042.jpg,endou,,
frame_00043.jpg,endou,,
frame_00044.jpg,endou,,
frame_00045.jpg,endou,,
